ARQUIVO,DIRETORIO,FONTE_RELACIONADA,DESCRICAO,NUM_REGISTROS,NUM_COLUNAS,TAMANHO_BYTES,ULTIMA_ATUALIZACAO
cito_colo_atendimento.parquet,datasus_siscan,SISCAN - Citopatológico do Colo do Útero (Atendimento),"SISCAN: exames citopatológicos do colo do útero agregados por local de atendimento, com medidas e resultados do exame. Dados do TABNET desde 2013.",3541,10,21467,02-08-2026 11:32:54
cito_colo_residencia.parquet,datasus_siscan,SISCAN - Citopatológico do Colo do Útero (Residência),"SISCAN: exames citopatológicos do colo do útero agregados por local de residência, com medidas e resultados do exame. Dados do TABNET desde 2013.",3695,10,21660,02-08-2026 11:15:55
cito_mama_atendimento.parquet,datasus_siscan,SISCAN - Citopatológico da Mama (Atendimento),"SISCAN: exames citopatológicos da mama agregados por local de atendimento, com medidas e resultados do exame. Dados do TABNET desde 2013.",320,10,9227,02-08-2026 12:36:04
cito_mama_residencia.parquet,datasus_siscan,SISCAN - Citopatológico da Mama (Residência),"SISCAN: exames citopatológicos da mama agregados por local de residência, com medidas e resultados do exame. Dados do TABNET desde 2013.",350,10,9346,02-08-2026 12:35:06
histo_colo_atendimento.parquet,datasus_siscan,SISCAN - Histopatológico do Colo do Útero (Atendimento),"SISCAN: exames histopatológicos do colo do útero agregados por local de atendimento, com medidas e resultados do exame. Dados do TABNET desde 2013.",3242,10,16909,02-08-2026 11:52:35
histo_colo_residencia.parquet,datasus_siscan,SISCAN - Histopatológico do Colo do Útero (Residência),"SISCAN: exames histopatológicos do colo do útero agregados por local de residência, com medidas e resultados do exame. Dados do TABNET desde 2013.",3457,10,17241,02-08-2026 11:42:46
histo_mama_atendimento.parquet,datasus_siscan,SISCAN - Histopatológico da Mama (Atendimento),"SISCAN: exames histopatológicos da mama agregados por local de atendimento, com medidas e resultados do exame. Dados do TABNET desde 2013.",2691,10,15727,02-08-2026 12:59:13
histo_mama_residencia.parquet,datasus_siscan,SISCAN - Histopatológico da Mama (Residência),"SISCAN: exames histopatológicos da mama agregados por local de residência, com medidas e resultados do exame. Dados do TABNET desde 2013.",3419,10,17065,02-08-2026 12:48:31
mamografia_atendimento.parquet,datasus_siscan,SISCAN - Mamografia (Atendimento),"SISCAN: exames de mamografia agregados por local de atendimento, com medidas e resultados do exame. Dados do TABNET desde 2013.",2182,10,15581,02-08-2026 12:23:27
mamografia_residencia.parquet,datasus_siscan,SISCAN - Mamografia (Residência),"SISCAN: exames de mamografia agregados por local de residência, com medidas e resultados do exame. Dados do TABNET desde 2013.",2295,10,15626,02-08-2026 12:07:07
pns_2013_diagnostico_cancer.parquet,ibge,PNS 2013 - Diagnóstico e Tipo de Câncer,"PNS 2013 (IBGE): pessoas com diagnóstico de câncer autorreferido, tipo (categórico), idade no diagnóstico e limitação. ",1023,12,21434,02-08-2026 15:41:58
pns_2013_rastreamento_colo_utero.parquet,ibge,PNS 2013 - Rastreamento de Colo do Útero,"PNS 2013 (IBGE): rastreamento de colo do útero (exame preventivo) nas mulheres entrevistadas, com resultado e histerectomia. ",34282,16,226325,02-08-2026 15:42:09
pns_2013_rastreamento_mama.parquet,ibge,PNS 2013 - Rastreamento de Mama,PNS 2013 (IBGE): rastreamento de mama (exame clínico das mamas e mamografia) nas mulheres entrevistadas. ,34282,17,243616,02-08-2026 15:42:18
pns_2019_diagnostico_cancer.parquet,ibge,PNS 2019 - Diagnóstico e Tipo de Câncer,"PNS 2019 (IBGE): pessoas com diagnóstico de câncer autorreferido, tipo em flags binárias (múltiplos) e limitação. ",2316,25,48377,02-08-2026 15:42:05
pns_2019_rastreamento_colo_utero.parquet,ibge,PNS 2019 - Rastreamento de Colo do Útero,"PNS 2019 (IBGE): rastreamento de colo do útero, com motivo, tempo até resultado, encaminhamento e histerectomia. ",48047,17,356936,02-08-2026 15:42:14
pns_2019_rastreamento_mama.parquet,ibge,PNS 2019 - Rastreamento de Mama,"PNS 2019 (IBGE): rastreamento de mama (exame clínico das mamas e mamografia), com resultado e encaminhamento. ",48047,17,348825,02-08-2026 15:42:23
cancer_populacional.parquet,inca,INCA - Registro de Câncer de Base Populacional (RCBP),INCA - Registro de Câncer de Base Populacional (RCBP): estimativas de incidência por população.,2368916,37,50486854,02-08-2026 15:40:58
registro_hospitalar.parquet,inca,INCA - Registro Hospitalar de Câncer (RHC),INCA - Registro Hospitalar de Câncer (RHC): perfil de atendimento hospitalar por unidade.,5399686,47,117084218,02-08-2026 15:41:51
geo_macroregiao.parquet,macroregiao,Macrorregião de Saúde (geolocalização),Referência geográfica por município. ,5570,21,352507,31-07-2026 02:03:42
sinonimos_municipio.parquet,macroregiao,Códigos Municipais antigos -> Códigos Vigentes,De-para de código municipal antigo -> código vigente (derivado do MUNSINON/CADMUN). ,113,2,2758,31-07-2026 02:03:43
convenios_cancer.parquet,transparencia,Convênios Federais em Oncologia (Portal da Transparência),"Convênios federais cujo objeto menciona câncer/oncologia (Portal da Transparência), cruzados por CNPJ com as instituições habilitadas no CNES. ",814,40,158526,31-07-2026 09:32:21
